overweight kid	dan overweight unhealthy make decided
the bike accident	learned sister crashed hill nervous
beach	beach mile walking happened boyfriend
the bad customer .	working counter taking long food
being patient	talking complain decided home text
foolish frank	frank call night date drive
shark adventure	dave snorkeling cave ahead shark
too sunny for sunny	beach car forgot sunglasses sunny
the merry widow	happy discovered feel mom husband
golf cheat	watched grass ball believed putt
josh 's bird	josh school show bird bring
leash	morning path hard chased cat
she is the saddest girl	brenda talk needed thought break
being creative	eat leftovers mixed attempt fried
company	company lonely man told listened
chat	day phone lot knew wanted
lottery winner	knew drugs blew lot money
not quite a fairytale	waiting shopper alleyway place shopper
board game night	friends evening sat game spent
screen porch	sipped today tools labored night
the beach	wanted friends lot covered shower
pet	pet dad puppy received head
hotdog contest	kelly tasting make won medal
youtube	watching mom dishes elephant video
jeff moving	house money day won moving
broken ankle	walking feet rock stepped ground
absentminded	town bought refreshing delicious wait
todd makes hamburgers	todd house buy home needed
the recliner	clashed decor reupholstered threw recliner
swim safely	family thought telling swam lost
true confession	confessional thought fantasized left car
movie disruption	movie entered sit found bunch
chip , chip , and dip	party put dip skip flip
dance	invite peter league summoned rejection
shy	class knew stop apologize realized
burnt toast	jerry medium toast settings toaster
fees	week mistake purchases hundreds half
frank	frank trash video online famous
music	deaf hear super offered doctor
hearing voices	voice wife hallway steward called
morning coffee	john starts thermos finishing work
sunny side up	susan found sky bursting kids
new church	lutheran catholic bob religion worried
biased in laws	jen end lunch point weight
sharp bit	bit looked lot sharpener good
trip	locker pressed teachers school nurse
learning to be a pilot	airplanes dream loved minute wanted
relaxation	wife facials sauna soaked nice
marching band	weeks made instrument tryouts accepted
the lost ring	lisa wash afternoon missing day
cold day	hot surprised glad weather drinks
new destination	hop slowed bus doorway fell
mouse problem	snacks food noticed kitchen determined
school play	natalie won weeks acted heart
science class	presenting tinfoil vinegar started astonishment
samantha is self-sufficient	samantha dad sufficient change driving
secret pig	day wanted pet secret edge
nostalgia	zoo child turned deer fed
watching a movie	relax mary made anticipated time
bunny slopes	excited dad quickly hour thought
mark plays music	gig showed applauded home equipment
the expensive mechanic	billy highway hood fixed called
christmas shopping .	frankie store gifts walked cart
rex becomes a father	dreams good money shortcomings married
moving to california	laura moving car things scenery
the chant	home rival encourage chant goal
drunk driving	highway sees escape wrecked alright
avoiding	nate arrived school looked run
sandy bounces back	divorce time socialize demurred movies
farm	farm decided buy pig bogart
fire station	preschoolers teachers talked truck trip
on second thought	gina class rude realized began
the dance audition .	olivia dream day opportunity won
salesman	tim worked day buy tim
sneak attack	today sneaking sitting shouted breaking
ice cream	betty mint ice buying cream
cade is n't growing	short school tall dad grow
amber done goofed	drove messed towed flood car
chicken pot pie	mom wanted store oven working
hiding	found plants shredded hiding dog
holding it	bus badly hold longer caught
pickup truck	truck living craigslist finally car
31	totes sold typically bring makes
pasta sauce	mike started tomatoes garden forgot
the view	today talking polarized rosie splitscreen
tennis in the rain	elliott play played day rain
the baby	today helping feeding decided wife
trip to epcot	louisa excitement moment park pictures
swimming lessons	joanie lake rode shore petrified
a light jog	week started excited home rained
soupy mess	washed bathroom soup put grabbed
gym	gym work tyrese job motivation
ryder the puppy	door smelling back bath ryder
new cop	chicago nervous time nerves news
double blessing	gas money pay owe paid
music affinity	wanted make affinity learned forming
wrong boxes	moved store wife large managed
play	girl ended kids met played
random visit	wife movie start doorbell visit
haircut	haircut cut upset charge months
welcome back	kyle proud corner pet hair
a new lamp	jan lamp store found bought
dunk contest	watched dunks fans life finals
kindergarten	tyler kindergarten nervous mother leg
the ugly dress	special ordered gloria excited saggy
ram	wanted computer ram decided upgrade
sand castle	needed spent lunch evening masterpiece
haircut	haircut salon healthy loved months
rainbow	raining rainbow looked stretched day
mud puddle	park ground notice pants car
swan dive	girl lake swimming girls boys
pie eating contest	state fair contest entered win
the tropics	teddy headed arrived made animals
spoiler alert	john read books week accidentally
getting ice	george drinks room luckily left
pandy 's adventure	afternoon dog pandy play enjoying
plane jitters	allie scared lot turbulence thankfully
college admissions letter	senior application letter found opened
monkeys	zoo people sired family monkeys
the movie	jason reads chooses picked movie
slow reader	mitch birthday gift friend opened
bubble bath	running squeezed lid tub fill
jim 's big storm	jim hometown house blown boarding
